customerID	Churn	time	Survival Rate
9259-PACGQ	1	34	0.8067783388879877
0708-SJDIS	0	34	0.6467462001258708
0866-QLSIR	1	34	0.9414414607110753
4374-YMUSQ	0	34	0.979843307947778
6641-XRPSU	1	34	0.29083809070234695
4086-ATNFV	0	34	0.9431639019084599
4636-JGAAI	0	34	0.7389890673165679
2697-NQBPF	0	34	0.6102833748264275
2133-TSRRM	0	34	0.6530018403198511
3521-HTQTV	0	34	0.9916254759513552
5498-TXHLF	1	34	0.5299169147770532
3331-HQDTW	1	34	0.6800710480524854
6599-CEBNN	1	34	0.36163157862010353
9695-IDRZR	0	34	0.9958347289123454
5203-XEHAX	0	34	0.9034142684502536
7594-LZNWR	0	34	0.3397348167916646
9971-ZWPBF	0	34	0.8046267985376468
4947-DSMXK	0	34	0.7566602925940201
6393-WRYZE	1	34	0.6002118052091503
9508-ILZDG	0	34	0.4578697985040375
2874-YXVVA	0	34	0.5337712619696372
6116-RFVHN	0	34	0.6409129676323982
0020-JDNXP	0	34	0.9766964335215917
5914-DVBWJ	1	18	0.6199071261839888
0859-YGKFW	0	18	0.9765953557168081
9692-TUSXH	1	18	0.4813144417405524
6133-OZILE	0	18	0.605693734934777
1057-FOGLZ	0	18	0.7198507814686871
9415-DPEWS	1	18	0.5079683981123996
6877-LGWXO	1	18	0.6112703465475906
7542-CYDDM	0	18	0.7244705932596031
0365-GXEZS	0	18	0.675363622289198
2432-TFSMK	0	18	0.9339985472174194
9050-QLROH	1	18	0.8092825481428242
2195-VVRJF	0	18	0.8719394739780447
1402-PTHGN	0	18	0.9735553426472099
5955-ERIHD	1	18	0.7039350189567033
2333-KWEWW	0	18	0.9934741050337808
5843-TTHGI	0	18	0.5360562212540827
2011-TRQYE	1	18	0.728083343199632
4654-GGUII	0	18	0.9456392132925852
0650-BWOZN	0	18	0.25863747177133095
8930-XOTDP	0	18	0.7199154960703471
6240-EURKS	1	18	0.5595225434489652
3094-JOJAI	0	18	0.5185310228357012
5651-WYIPH	0	18	0.6820620365563694
0557-ASKVU	0	18	0.9774924418372883
8606-OEGQZ	0	18	0.996325721993836
6693-FRIRW	0	18	0.8056006521980309
5366-OBVMR	0	18	0.7586651054920508
7010-ZMVBF	0	18	0.8496483394742382
9229-RQABD	0	18	0.9613647644052039
1328-EUZHC	0	18	0.9938698221478031
1092-WPIVQ	0	18	0.9965062442020056
1133-KXCGE	0	18	0.9425215746483204
2823-LKABH	0	18	0.8387100561622207
7780-OTDSO	1	18	0.7567837869388688
5087-SUURX	1	18	0.6139270156531437
4054-CUMIA	0	18	0.819141806760725
2446-ZKVAF	0	18	0.9056202416914124
2122-YWVYA	0	18	0.2967857425665557
9512-UIBFX	1	18	0.7775738063616449
9734-YWGEX	1	9	0.8917370356706686
2215-ZAFGX	0	9	0.5702450163328052
2688-BHGOG	0	9	0.560763961719831
0564-JJHGS	1	9	0.709179624692813
4083-EUGRJ	1	9	0.8324946770832238
3030-YZADT	1	9	0.6848303774237615
8075-GXIUB	0	9	0.9882389425956662
6339-YPSAH	0	9	0.4700941111593033
1262-OPMFY	1	9	0.7930349852378842
5357-TZHPP	1	9	0.8450290448596687
2691-NZETQ	1	9	0.5678805878661626
6543-CPZMK	1	9	0.7857024238309464
0260-ZDLGK	1	9	0.8688880421119985
4633-MKHYU	0	9	0.6228177109061955
8778-LMWTJ	0	9	0.4882789717537079
0781-LKXBR	1	9	0.7609118921451123
4570-QHXHL	0	9	0.533145480436124
7020-OZKXZ	0	9	0.7633385553831491
3173-NVMPX	0	9	0.8928576724862302
5624-RYAMH	0	9	0.7423662081790844
2344-JMOGN	1	9	0.8563766387619529
1219-NNDDO	0	9	0.5960420669706705
8631-XVRZL	0	9	0.9597088073220257
4299-SIMNS	0	9	0.6577713537881199
1335-NTIUC	0	9	0.549862892698568
0872-NXJYS	1	9	0.5660641149740343
2754-XBHTB	1	9	0.5370800153729737
9026-LHEVG	0	9	0.7969506378110105
5895-QSXOD	0	9	0.5602118835069029
7394-FKDNK	1	9	0.7631371184561682
4116-TZAQJ	1	9	0.7099907459963641
3987-KQDDU	0	9	0.5656010747528445
4445-ZJNMU	0	9	0.876107927225174
1518-VOWAV	1	9	0.7954790328102698
8118-TJAFG	0	9	0.8763378335996435
5707-ORNDZ	1	9	0.7811269991423483
4283-IVYCI	0	9	0.8932304799016169
2959-FENLU	0	9	0.8195415563656009
5057-RKGLH	0	9	0.9968170109286186
9424-CMPOG	0	9	0.9966977268766836
